step,total_steps,epoch,progress_percent,loss,grad_norm,learning_rate,elapsed_min,eta_min
1,30,0.1,3.33,0.618052,8.125,0.0,1.05,30.52
2,30,0.2,6.67,0.58233,6.5938,2e-05,2.01,28.17
3,30,0.3,10.0,0.67653,9.125,1.931e-05,2.93,26.38
4,30,0.4,13.33,0.580712,4.3438,1.862e-05,3.85,25.03
5,30,0.5,16.67,0.527747,3.4062,1.793e-05,4.67,23.35
6,30,0.6,20.0,0.56266,3.2969,1.724e-05,5.57,22.28
7,30,0.7,23.33,0.528755,2.9375,1.655e-05,6.49,21.31
8,30,0.8,26.67,0.506879,2.7344,1.586e-05,7.4,20.34
9,30,0.9,30.0,0.542902,2.6719,1.517e-05,8.33,19.43
10,30,1.0,33.33,0.465822,2.6094,1.448e-05,9.26,18.53
11,30,1.1,36.67,0.446144,2.7031,1.379e-05,10.25,17.7
12,30,1.2,40.0,0.433002,2.4375,1.31e-05,11.09,16.63
13,30,1.3,43.33,0.42061,2.2969,1.241e-05,11.99,15.68
14,30,1.4,46.67,0.396716,2.125,1.172e-05,12.91,14.76
15,30,1.5,50.0,0.422579,2.25,1.103e-05,13.94,13.94
16,30,1.6,53.33,0.383316,2.1406,1.034e-05,14.94,13.07
17,30,1.7,56.67,0.356931,2.0938,9.655e-06,16.0,12.23
18,30,1.8,60.0,0.417671,2.4688,8.966e-06,17.06,11.37
19,30,1.9,63.33,0.374815,2.3125,8.276e-06,18.13,10.5
20,30,2.0,66.67,0.389255,2.4375,7.586e-06,19.15,9.57
21,30,2.1,70.0,0.382901,2.1719,6.897e-06,20.27,8.69
22,30,2.2,73.33,0.385843,2.0312,6.207e-06,21.22,7.72
23,30,2.3,76.67,0.378885,2.1719,5.517e-06,22.17,6.75
24,30,2.4,80.0,0.363662,2.3125,4.828e-06,23.08,5.77
25,30,2.5,83.33,0.331802,1.9922,4.138e-06,23.96,4.79
26,30,2.6,86.67,0.348177,2.0625,3.448e-06,24.9,3.83
27,30,2.7,90.0,0.349865,1.9531,2.759e-06,25.82,2.87
28,30,2.8,93.33,0.378538,2.3125,2.069e-06,26.61,1.9
29,30,2.9,96.67,0.336017,1.9688,1.379e-06,27.32,0.94
30,30,3.0,100.0,0.33423,2.0156,6.897e-07,28.24,0.0
